zoneid,tsfout,tsfin,tsfpair
0,76.2,75.70000000000002,75.95000000000002
1,93.89999999999995,93.39999999999996,93.64999999999995
2,89.0,88.69999999999997,88.85
3,812.6000000000014,833.9000000000017,823.2500000000016
4,778.3000000000018,770.5000000000019,774.4000000000019
5,108.1,108.00000000000001,108.05000000000001
6,341.09999999999974,321.4999999999998,331.2999999999997
7,341.49999999999983,348.6999999999998,345.0999999999998
8,30.10000000000001,28.700000000000003,29.400000000000006
9,52.4,54.199999999999996,53.3
10,77.70000000000002,80.30000000000001,79.00000000000001
11,272.0,269.8,270.9
12,51.7,53.39999999999999,52.55
13,4.299999999999999,4.599999999999999,4.449999999999999
14,308.79999999999995,303.4,306.09999999999997
15,161.79999999999993,167.1,164.44999999999996
16,135.79999999999987,140.59999999999994,138.1999999999999
17,262.49999999999994,264.89999999999986,263.69999999999993
18,268.40000000000015,264.59999999999997,266.50000000000006
19,677.1,704.6999999999998,690.8999999999999
20,182.6999999999999,178.89999999999995,180.79999999999993
21,94.20000000000003,95.40000000000003,94.80000000000004
22,1162.9999999999998,1125.4999999999995,1144.2499999999995
23,956.3999999999993,959.3999999999991,957.8999999999992
24,320.00000000000006,318.10000000000014,319.05000000000007
25,1117.8999999999999,1121.8999999999996,1119.8999999999996
26,1237.399999999999,1243.199999999999,1240.2999999999988
27,606.8999999999999,613.4999999999999,610.1999999999998
28,918.3999999999996,952.1999999999997,935.2999999999997
29,607.2999999999997,592.8999999999999,600.0999999999998
30,310.8,309.6000000000001,310.20000000000005
31,231.40000000000006,205.59999999999997,218.5
32,51.2,48.00000000000001,49.60000000000001
