zoneid1,city,zoneid,zone_name
0,A,0,A_000
1,A,1,A_001
2,A,2,A_002
3,A,3,A_003
4,A,4,A_004
5,A,5,A_005
6,A,6,A_006
7,A,7,A_007
8,A,8,A_008
9,A,9,A_009
10,A,10,A_010
11,A,11,A_011
12,A,12,A_012
13,A,13,A_013
14,A,14,A_014
15,A,15,A_015
16,A,16,A_016
17,A,17,A_017
18,A,18,A_018
19,A,19,A_019
20,A,20,A_020
21,A,21,A_021
22,A,22,A_022
23,A,23,A_023
24,A,24,A_024
25,A,25,A_025
26,A,26,A_026
27,A,27,A_027
28,A,28,A_028
29,A,29,A_029
30,A,30,A_030
31,A,31,A_031
32,A,32,A_032
33,A,33,A_033
34,A,34,A_034
35,A,35,A_035
36,A,36,A_036
37,A,37,A_037
38,A,38,A_038
39,A,39,A_039
40,A,40,A_040
41,A,41,A_041
42,A,42,A_042
43,A,43,A_043
44,A,44,A_044
45,A,45,A_045
46,A,46,A_046
47,A,47,A_047
48,A,48,A_048
49,A,49,A_049
50,A,50,A_050
51,A,51,A_051
52,A,52,A_052
53,A,53,A_053
54,A,54,A_054
55,A,55,A_055
56,A,56,A_056
57,A,57,A_057
58,A,58,A_058
59,A,59,A_059
60,A,60,A_060
61,A,61,A_061
62,A,62,A_062
63,A,63,A_063
64,A,64,A_064
65,A,65,A_065
66,A,66,A_066
67,A,67,A_067
68,A,68,A_068
69,A,69,A_069
70,A,70,A_070
71,A,71,A_071
72,A,72,A_072
73,A,73,A_073
74,A,74,A_074
75,A,75,A_075
76,A,76,A_076
77,A,77,A_077
78,A,78,A_078
79,A,79,A_079
80,A,80,A_080
81,A,81,A_081
82,A,82,A_082
83,A,83,A_083
84,A,84,A_084
85,A,85,A_085
86,A,86,A_086
87,A,87,A_087
88,A,88,A_088
89,A,89,A_089
90,A,90,A_090
91,A,91,A_091
92,A,92,A_092
93,A,93,A_093
94,A,94,A_094
95,A,95,A_095
96,A,96,A_096
97,A,97,A_097
98,A,98,A_098
99,A,99,A_099
100,A,100,A_100
101,A,101,A_101
102,A,102,A_102
103,A,103,A_103
104,A,104,A_104
105,A,105,A_105
106,A,106,A_106
107,A,107,A_107
108,A,108,A_108
109,A,109,A_109
110,A,110,A_110
111,A,111,A_111
112,A,112,A_112
113,A,113,A_113
114,A,114,A_114
115,A,115,A_115
116,A,116,A_116
117,A,117,A_117
118,B,0,B_000
119,B,1,B_001
120,B,2,B_002
121,B,3,B_003
122,B,4,B_004
123,B,5,B_005
124,B,6,B_006
125,B,7,B_007
126,B,8,B_008
